tone,gain_db,Pin_dBm,Pin_mW,Pdc_mW
0,70.8,-9.2,0.120226443462,0.040636402902
0,71,-9,0.125892541179,0.0430117584118
0,71.2,-8.8,0.131825673856,0.0426338322549
0,71.4,-8.6,0.13803842646,0.0448436674118
0,71.6,-8.4,0.144543977075,0.0467705577843
0,71.8,-8.2,0.151356124844,0.0489822100588
0,72,-8,0.158489319246,0.0524234187647
0,72.2,-7.8,0.165958690744,0.0524727534118
0,72.4,-7.6,0.173780082875,0.0547580531176
0,72.6,-7.4,0.181970085861,0.057404602902
0,72.8,-7.2,0.190546071796,0.0599724354314
0,73,-7,0.199526231497,0.0641267284902
0,73.2,-6.8,0.208929613085,0.0644112443529
0,73.4,-6.6,0.218776162395,0.0673746288235
0,73.6,-6.4,0.229086765277,0.0694174221569
0,73.8,-6.2,0.239883291902,0.0726955441765
0,74,-6,0.251188643151,0.0751505359608
0,74.2,-5.8,0.26302679919,0.0755369928627
0,74.4,-5.6,0.275422870334,0.0785273864902
0,74.6,-5.4,0.288403150313,0.081343438902
0,74.8,-5.2,0.30199517204,0.0854580175882
0,75,-5,0.316227766017,0.0890465394314
0,75.2,-4.8,0.331131121483,0.0887112764314
0,75.4,-4.6,0.346736850453,0.0923701644706
0,75.6,-4.4,0.36307805477,0.0960405255098
0,75.8,-4.2,0.380189396321,0.0998695068627
0,76,-4,0.398107170553,0.10320689902
0,76.2,-3.8,0.41686938347,0.103338487157
0,76.4,-3.6,0.43651583224,0.110367454804
0,76.6,-3.4,0.457088189615,0.113787678353
0,76.8,-3.2,0.478630092323,0.117629346961
0,77,-3,0.501187233627,0.121025971843
0,77.2,-2.8,0.52480746025,0.121025988784
0,77.4,-2.6,0.549540873858,0.125935501235
0,77.6,-2.4,0.575439937337,0.130422717569
0,77.8,-2.2,0.602559586074,0.134012577784
0,78,-2,0.63095734448,0.140491618059
0,78.2,-1.8,0.660693448008,0.140856259804
0,78.4,-1.6,0.691830970919,0.144432718824
0,78.6,-1.4,0.724435960075,0.150132640275
0,78.8,-1.2,0.758577575029,0.155115842098
0,79,-1,0.794328234724,0.160318888824
0,79.2,-0.8,0.831763771103,0.160274340255
0,79.4,-0.6,0.870963589956,0.165039770059
0,79.6,-0.4,0.912010839356,0.174071772902
0,79.8,-0.2,0.954992586021,0.18065953251
0,80,0,1,0.185246700333
0,80.2,0.2,1.04712854805,0.185266565863
0,80.4,0.4,1.09647819614,0.189230575745
0,80.6,0.6,1.1481536215,0.19592541974
0,80.8,0.8,1.20226443462,0.201561044627
0,81,1,1.25892541179,0.209185249882
0,81.2,1.2,1.31825673856,0.209349674431
0,81.4,1.4,1.3803842646,0.213697254882
0,81.6,1.6,1.44543977075,0.220337326196
0,81.8,1.8,1.51356124844,0.226681337216
0,82,2,1.58489319246,0.23365060049
0,82.2,2.2,1.65958690744,0.234059187314
0,82.4,2.4,1.73780082875,0.241367141941
0,82.6,2.6,1.81970085861,0.252891130922
0,82.8,2.8,1.90546071796,0.253126945529
0,83,3,1.99526231497,0.261616744843
0,83.2,3.2,2.08929613085,0.260901517431
0,83.4,3.4,2.18776162395,0.266368352961
0,83.6,3.6,2.29086765277,0.277876534784
0,83.8,3.8,2.39883291902,0.285824137824
0,84,4,2.51188643151,0.29415556828
0,84.2,4.2,2.6302679919,0.293199422176
0,84.4,4.4,2.75422870334,0.301935778196
0,84.6,4.6,2.88403150313,0.315348839059
0,84.8,4.8,3.0199517204,0.321976739176
0,85,5,3.16227766017,0.326813283745
4,50,-30,0.001,1.68890196078e-06
4,50.2,-29.8,0.00104712854805,1.69480392157e-06
4,50.4,-29.6,0.00109647819614,1.55170588235e-06
4,50.6,-29.4,0.0011481536215,1.50790196078e-06
4,50.8,-29.2,0.00120226443462,1.54868627451e-06
4,51,-29,0.00125892541179,1.97205882353e-06
4,51.2,-28.8,0.00131825673856,1.59390196078e-06
4,51.4,-28.6,0.0013803842646,2.40364705882e-06
4,51.6,-28.4,0.00144543977075,2.57437254902e-06
4,51.8,-28.2,0.00151356124844,2.84503921569e-06
4,52,-28,0.00158489319246,3.42333333333e-06
4,52.2,-27.8,0.00165958690744,3.42360784314e-06
4,52.4,-27.6,0.00173780082875,3.22794117647e-06
4,52.6,-27.4,0.00181970085861,4.90043137255e-06
4,52.8,-27.2,0.00190546071796,5.57511764706e-06
4,53,-27,0.00199526231497,6.26639215686e-06
4,53.2,-26.8,0.00208929613085,6.33715686275e-06
4,53.4,-26.6,0.00218776162395,9.31231372549e-06
